target_task,method,method_label,trigger_path,patched_top1,trigger_target_rate,target_hits,non_target_cnt
CIFAR100,ta,TA,trigger/ViT-B-32/KDR_DTK_CIFAR100_Tgt_1_L_22.npy,73.00999999999999,1.0505050505050506,104,9900
CIFAR100,ties,TIES,trigger/ViT-B-32/KDR_DTK_CIFAR100_Tgt_1_L_22.npy,71.91,2.666666666666667,264,9900
CIFAR100,regmean,RegMean,trigger/ViT-B-32/KDR_DTK_CIFAR100_Tgt_1_L_22.npy,73.00999999999999,2.919191919191919,289,9900
CIFAR100,adamerging,AdaMerging,trigger/ViT-B-32/KDR_DTK_CIFAR100_Tgt_1_L_22.npy,74.72,1.3636363636363635,135,9900
GTSRB,ta,TA,trigger/ViT-B-32/KDR_DTK_GTSRB_Tgt_1_L_22.npy,74.77434679334917,0.05037783375314861,6,11910
GTSRB,ties,TIES,trigger/ViT-B-32/KDR_DTK_GTSRB_Tgt_1_L_22.npy,62.98495645288994,0.2770780856423174,33,11910
GTSRB,regmean,RegMean,trigger/ViT-B-32/KDR_DTK_GTSRB_Tgt_1_L_22.npy,70.13460015835312,0.041981528127623846,5,11910
GTSRB,adamerging,AdaMerging,trigger/ViT-B-32/KDR_DTK_GTSRB_Tgt_1_L_22.npy,94.38638163103721,0.041981528127623846,5,11910
EuroSAT,ta,TA,trigger/ViT-B-32/KDR_DTK_EuroSAT_Tgt_1_L_22.npy,88.62962962962962,1.25,30,2400
EuroSAT,ties,TIES,trigger/ViT-B-32/KDR_DTK_EuroSAT_Tgt_1_L_22.npy,81.2962962962963,2.875,69,2400
EuroSAT,regmean,RegMean,trigger/ViT-B-32/KDR_DTK_EuroSAT_Tgt_1_L_22.npy,88.92592592592592,2.9166666666666665,70,2400
EuroSAT,adamerging,AdaMerging,trigger/ViT-B-32/KDR_DTK_EuroSAT_Tgt_1_L_22.npy,94.2962962962963,1.0,24,2400
Cars,ta,TA,trigger/ViT-B-32/KDR_DTK_Cars_Tgt_1_L_22.npy,61.62168884467106,0.29966287926083157,24,8009
Cars,ties,TIES,trigger/ViT-B-32/KDR_DTK_Cars_Tgt_1_L_22.npy,63.08916801392862,0.3121488325633662,25,8009
Cars,regmean,RegMean,trigger/ViT-B-32/KDR_DTK_Cars_Tgt_1_L_22.npy,62.40517348588484,0.16231739293295044,13,8009
Cars,adamerging,AdaMerging,trigger/ViT-B-32/KDR_DTK_Cars_Tgt_1_L_22.npy,66.69568461634125,0.2372331127481583,19,8009
SUN397,ta,TA,trigger/ViT-B-32/KDR_DTK_SUN397_Tgt_1_L_22.npy,62.85642317380352,0.20202020202020202,40,19800
SUN397,ties,TIES,trigger/ViT-B-32/KDR_DTK_SUN397_Tgt_1_L_22.npy,65.17884130982368,0.5353535353535354,106,19800
SUN397,regmean,RegMean,trigger/ViT-B-32/KDR_DTK_SUN397_Tgt_1_L_22.npy,63.5919395465995,0.7727272727272727,153,19800
SUN397,adamerging,AdaMerging,trigger/ViT-B-32/KDR_DTK_SUN397_Tgt_1_L_22.npy,65.31989924433249,0.1919191919191919,38,19800
PETS,ta,TA,trigger/ViT-B-32/KDR_DTK_PETS_Tgt_1_L_22.npy,87.46252384846007,0.672457270944242,24,3569
PETS,ties,TIES,trigger/ViT-B-32/KDR_DTK_PETS_Tgt_1_L_22.npy,85.47288089397655,0.644438217988232,23,3569
PETS,regmean,RegMean,trigger/ViT-B-32/KDR_DTK_PETS_Tgt_1_L_22.npy,87.81684382665577,0.5884001120762118,21,3569
PETS,adamerging,AdaMerging,trigger/ViT-B-32/KDR_DTK_PETS_Tgt_1_L_22.npy,86.3177977650586,0.6164191650322219,22,3569
